"REF_DATE","GEO","DGUID","Self-reported cannabis use in the past three months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","1072.0","","","","1"
"2019-04","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","1022.5","","","","1"
"2019-07","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","1002.0","","","","1"
"2019-10","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","968.7","","","","1"
"2019-01","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units","0","v1038100603","17.2","29.5","","","","1"
"2019-04","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units","0","v1038100603","17.2","25.5","","","","1"
"2019-07","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units","0","v1038100603","17.2","27.0","","","","1"
"2019-10","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units","0","v1038100603","17.2","24.0","","","","1"
"2019-01","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100625","17.3","23.5","","","","1"
"2019-04","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100625","17.3","19.3","","","","1"
"2019-07","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100625","17.3","20.4","","","","1"
"2019-10","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100625","17.3","17.9","","","","1"
"2019-01","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100647","17.4","36.2","","","","1"
