"REF_DATE","GEO","DGUID","Self-reported cannabis use in the past three months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","1937.7","","","","1"
"2019-04","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","1847.7","","","","1"
"2019-07","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","2154.7","","","","1"
"2019-10","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","2325.0","","","","1"
"2019-01","Canada, females","2016A000011124","Percentage of people","Percent","239","units","0","v1038100601","15.2","12.7","","","","1"
"2019-04","Canada, females","2016A000011124","Percentage of people","Percent","239","units","0","v1038100601","15.2","12.1","","","","1"
"2019-07","Canada, females","2016A000011124","Percentage of people","Percent","239","units","0","v1038100601","15.2","14.0","","","","1"
"2019-10","Canada, females","2016A000011124","Percentage of people","Percent","239","units","0","v1038100601","15.2","15.1","","","","1"
"2019-01","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100623","15.3","11.0","","","","1"
"2019-04","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100623","15.3","10.4","","","","1"
"2019-07","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100623","15.3","12.2","","","","1"
"2019-10","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100623","15.3","13.2","","","","1"
"2019-01","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100645","15.4","14.5","","","","1"
"2019-04","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100645","15.4","13.9","","","","1"
"2019-07","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100645","15.4","16.0","","","","1"
"2019-10","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100645","15.4","17.2","","","","1"
"2019-01","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","3321.0","","","","1"
"2019-04","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","2999.2","","","","1"
"2019-07","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","3023.7","","","","1"
"2019-10","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","2779.5","","","","1"
"2019-01","Canada, males","2016A000011124","Percentage of people","Percent","239","units","0","v1038100602","16.2","22.3","","","","1"
"2019-04","Canada, males","2016A000011124","Percentage of people","Percent","239","units","0","v1038100602","16.2","20.1","","","","1"
"2019-07","Canada, males","2016A000011124","Percentage of people","Percent","239","units","0","v1038100602","16.2","20.3","","","","1"
"2019-10","Canada, males","2016A000011124","Percentage of people","Percent","239","units","0","v1038100602","16.2","18.4","","","","1"
"2019-01","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100624","16.3","20.0","","","","1"
"2019-04","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100624","16.3","17.8","","","","1"
"2019-07","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100624","16.3","18.1","","","","1"
"2019-10","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100624","16.3","16.1","","","","1"
"2019-01","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100646","16.4","24.8","","","","1"
"2019-04","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100646","16.4","22.6","","","","1"
"2019-07","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100646","16.4","22.6","","","","1"
"2019-10","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100646","16.4","21.1","","","","1"


